time,source,device_name,fragment.series,value,unit
2022-03-09T21:38:14.568+01:00,100200,test,c8y_Winding.temperature,1.2345,°C
2022-03-11T09:28:18.588+01:00,100200,test,f.s,1.2345,°C
2022-03-11T09:28:28.132+01:00,100200,test,f.s,95,°C
022-03-26T13:06:34.452+01:00,100200,test,f.s,95,°C
2022-03-26T13:06:38.194+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:19.821+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:19.823+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.050+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.071+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.129+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.148+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.168+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.190+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.210+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.229+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.253+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.274+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.293+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.314+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.331+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.350+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.369+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.388+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.407+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.432+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.450+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.469+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.487+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.504+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.525+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.544+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.567+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.588+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.611+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.631+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.650+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.669+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.692+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.717+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.734+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.753+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.772+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.793+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.813+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.833+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.851+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.870+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.890+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.909+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.929+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.950+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.969+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:20.988+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.008+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.027+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.046+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.065+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.084+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.102+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.121+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.142+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.161+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.181+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.199+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.219+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.236+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.255+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.275+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.297+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.317+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.336+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.355+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.374+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.391+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.412+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.431+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.451+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.471+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.489+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.506+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.525+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.545+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.566+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.585+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.603+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.623+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.640+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.660+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.679+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.698+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.717+01:00,100200,test,f.s,95,°C
2022-03-26T13:07:21.734+01:00,100200,test,f.s,95,°C
